Title,Artist,Album,YouTube Video ID
"kimi wo matsu","Aimer","",w6hFEFzemKE
"茜さす (フルバージョン) - アニメ『夏目友人帳』エンディングソング - アニメ名場面付き","アニメソングコレクション","",XvJmIbVWBZE
"Aimer - Yuki No Furu Machi","Aimer","",vpBqijUqbbU
"Aimer - Kachoufugetsu","Aimer","",hCSP1pWse1Q
"Stars in the Rain","Aimer","",aRCC7N4gVRg
"眠りの森 - Nemuri No Mori","Aimer","",pHqrfBiGrrw
"Last Stardust","Aimer","",ngm99aJh7ig
"Aimer 『茜さす』MUSIC VIDEO（FULL ver.）","Aimer","",bN1t3-2X3aM
"Aimer 『誰か、海を。』MUSIC VIDEO（FULL ver.）","Aimer","",uNlQRyG0th8
"Hollow World","Aimer","",YV31rseUuKc
"Insane Dream","Aimer","",N8474TtCy9Q
"声色 - Kowairo","Aimer","",elQkVZya0oE
"Closer","Aimer","",qiLO9YDOxYg
"Falling Alone","Aimer","",Qe4PCh1w_Ig
"Believe Be:leave - Believe Be Leave","Aimer","",r2TfUONfRys
"Dawn","Aimer","",XLh7BhLltw0
"Re:far - Refar","Aimer","",OsruSLWATUY
"AM04:00","Aimer","",AAYm3-r75z4
"キズナ - Kizuna","Aimer","",4JGVwtuGvU0
"Cold Sun","Aimer","",vFaLXUglsV8
"Am03:00","Aimer","",CGmVmC4bHtA
"Iris","Aimer","",1-u5eFQnHqA
"After Rain","Aimer","",g4IEhywhzIs
"笑顔 - Egao","Aimer","",-7Wxf2Q6YaY
"悲しみはオーロラに（Restarred by Takagi Masakatsu） - Kanashimihaohrorani (Restarred by Takagi Masakatsu)","Aimer","",J5zzI7-0B_U
"寂しくて眠れない夜は - Samishikute Nemurenai Yoruha","Aimer","",IEhDTlBjJFw
"Am02:00","Aimer","",-Hn6O-WvD7o
"After Rain -Scarlet ver.- - After Rain (Scarlet Version)","Aimer","",BLqH4O7zq0s
"終わりへ向かう始まりの歌 - Owarihemukau Hajimarinouta","Supercell","",Mb3xGVkyyYY
"君の知らない物語 - Kimino Shiranai Monogatari","Supercell","",0VpGoDp3FCE
"ヒーロー - Hero","Supercell","",dSx77g4yIek
"Perfect Day","Supercell","",FM1iXQpRLgQ
"復讐 - Fukushuu","Supercell","",2Sz6324BJaU
"ロックンロールなんですの - Rock'n Roll Nandesuno","Supercell","",JtoFwwoar3k
"Feel So Good","Supercell","",a8jGd3h58fI
"星が瞬くこんな夜に - Hoshi Ga Matataku Konnayoruni","Supercell","",Xp-6bj8RiNg
"さよならメモリーズ - Sayonara Memories","Supercell","",WXHjXLOtF4I
